bodyType,brand,color,fuelType,modelDate,numberOfDoors,productionDate,vehicleTransmission,engineDisplacement,enginePower,price
седан,HYUNDAI,серый,бензин,2020,4,2021,автоматическая,1.6 LTR,123 N12,1330000
внедорожник 3 дв.,VAZ,серебристый,бензин,1993,3,2019,механическая,1.7 LTR,83 N12,770000
внедорожник 5 дв.,NISSAN,фиолетовый,дизель,2010,5,2010,автоматическая,3.0 LTR,231 N12,1230000
внедорожник 5 дв.,RENAULT,коричневый,бензин,2010,5,2014,механическая,1.6 LTR,102 N12,780000
внедорожник 5 дв.,FORD,белый,бензин,2010,5,2011,автоматическая,3.5 LTR,294 N12,1235000
внедорожник 5 дв.,LAND_ROVER,чёрный,дизель,2010,5,2012,автоматическая,2.2 LTR,150 N12,999000
внедорожник 5 дв.,FORD,чёрный,бензин,2012,5,2014,автоматическая,1.6 LTR,182 N12,945000
внедорожник 5 дв.,TOYOTA,чёрный,дизель,2015,5,2019,автоматическая,4.5 LTR,249 N12,6467000
седан,MERCEDES,белый,бензин,2013,4,2014,роботизированная,1.6 LTR,156 N12,1475000
седан,BMW,чёрный,дизель,2013,4,2016,автоматическая,2.0 LTR,190 N12,1795000
внедорожник 5 дв.,TOYOTA,чёрный,бензин,2007,5,2008,автоматическая,4.7 LTR,288 N12,1999000
седан,BMW,чёрный,дизель,2017,4,2018,автоматическая,3.0 LTR,249 N12,4199000
внедорожник 5 дв.,HYUNDAI,серебристый,бензин,2010,5,2012,автоматическая,2.0 LTR,150 N12,1095000
хэтчбек 5 дв.,FORD,коричневый,бензин,2011,5,2011,роботизированная,2.0 LTR,150 N12,650000
внедорожник 5 дв.,LAND_ROVER,белый,дизель,2009,5,2012,автоматическая,4.4 LTR,313 N12,2219000
седан,FORD,синий,бензин,2014,4,2015,автоматическая,2.5 LTR,149 N12,1150000
седан,HYUNDAI,чёрный,бензин,2010,4,2012,механическая,1.6 LTR,123 N12,485000
хэтчбек 5 дв.,VOLKSWAGEN,серый,бензин,2009,5,2010,роботизированная,1.4 LTR,85 N12,578000
внедорожник 5 дв.,INFINITI,чёрный,бензин,2013,5,2014,автоматическая,3.7 LTR,333 N12,1920000
внедорожник 5 дв.,BMW,чёрный,дизель,2019,5,2020,автоматическая,2.0 LTR,150 N12,3318000
внедорожник 5 дв.,RENAULT,белый,бензин,2015,5,2018,автоматическая,2.0 LTR,143 N12,1430000
универсал 5 дв.,VAZ,оранжевый,бензин,2015,5,2018,роботизированная,1.8 LTR,122 N12,845000
внедорожник 5 дв.,LAND_ROVER,коричневый,дизель,2009,5,2010,автоматическая,3.0 LTR,245 N12,1345000
седан,OPEL,серебристый,бензин,2008,4,2010,механическая,1.8 LTR,140 N12,605000
внедорожник 5 дв.,NISSAN,чёрный,бензин,2013,5,2016,вариатор,1.2 LTR,115 N12,1235000
седан,RENAULT,белый,бензин,2009,4,2010,механическая,1.4 LTR,75 N12,284990
внедорожник 5 дв.,MERCEDES,серый,бензин,2011,5,2012,автоматическая,3.5 LTR,306 N12,1885000
внедорожник 5 дв.,NISSAN,серый,бензин,2010,5,2014,вариатор,2.0 LTR,141 N12,1250000
седан,BMW,чёрный,дизель,2018,4,2020,автоматическая,2.0 LTR,190 N12,3426000
внедорожник 5 дв.,MERCEDES,серый,дизель,2015,5,2018,автоматическая,3.0 LTR,249 N12,4645000
внедорожник 3 дв.,VAZ,зелёный,бензин,1993,3,2015,механическая,1.7 LTR,83 N12,349000
внедорожник 5 дв.,BMW,чёрный,бензин,2018,5,2019,автоматическая,3.0 LTR,340 N12,8150000
внедорожник 5 дв.,KIA,серый,бензин,2010,5,2012,механическая,2.0 LTR,150 N12,945000
внедорожник 5 дв.,VOLKSWAGEN,белый,бензин,2016,5,2020,роботизированная,1.4 LTR,150 N12,2394600
внедорожник 5 дв.,TOYOTA,бежевый,дизель,2009,5,2012,автоматическая,3.0 LTR,173 N12,2210000
